language,model,n_params,R2,RSS,RSE,AIC,BIC
portuguese,model5p,4,0.5181690772375,231.79990202012556,0.5771012356907691,2269.0319882874373,3760.989593098007
russian,null,0,-1.1110642045660533,1188.0951966892085,1.3027965506605992,3555.6286470877844,5027.955230782425
russian,model1,1,-1.3970221179267583,1349.0307203858742,1.3892241741304299,3465.238807746729,4942.473146720353
russian,model2,2,0.5041526979447725,279.06010465665406,0.632297063785684,2410.453657516664,3892.5957517692686
russian,model3,2,0.3969109121802823,339.41518541430196,0.6973293152779333,2603.2828618830667,4085.424956135672
russian,model4,1,0.3822566631156782,347.6625153093785,0.705245536346755,2669.5691390121483,4146.803477985772
russian,model5,3,0.5355074807015369,261.4138072555748,0.612417894541486,2365.2574767939477,3852.3073263255355
russian,model1p,2,0.4837263564329721,290.5559360878407,0.6451893128450857,2449.9199257435102,3932.0620199961154
russian,model2p,3,0.521784570130249,269.13698502490945,0.621398645747432,2383.556242957501,3870.606092489089
russian,model3p,3,0.4223031042643597,325.12460089145776,0.682980850408741,2563.828743609706,4050.8785931412935
russian,model4p,2,0.5217936433257683,269.1318786809187,0.6209474675224304,2381.531746352486,3863.673840605091
russian,model5p,4,0.5398546141442713,258.96726472432033,0.6099831172577981,2370.995988212858,3862.953593023427
swedish,null,0,-2.2119933507060323,1932.592864498165,1.6615796548113764,4096.005982738098,5568.332566432739
swedish,model1,1,-1.7295130152473872,1642.2939903230058,1.5328048431412837,3633.335080950258,5110.5694199238815
swedish,model2,2,0.42618548505588294,345.252843341882,0.7033004910555861,2650.7038554921814,4132.845949744787
swedish,model3,2,0.3474156043228397,392.64712247654734,0.7500211290973573,2762.448021397887,4244.5901156504915
swedish,model4,1,0.27033840741381365,439.0229472363218,0.7925104957594393,2977.1214398352317,4454.355778808855
swedish,model5,3,0.44493475661675497,333.97177751242907,0.6922109976716656,2582.0544855697326,4069.10433510132
swedish,model1p,2,0.41128741707630057,354.2167161549501,0.7123719571821906,2678.71984017973,4160.861934432335
swedish,model2p,3,0.4371183100855621,338.6747787775451,0.6970678276554503,2623.6121893634,4110.662038894988
swedish,model3p,3,0.36640041058962114,381.2243400735274,0.7395608647720179,2732.668690741534,4219.718540273121
swedish,model4p,2,0.4371244889946784,338.67106105015137,0.6965644932058045,2621.5765514481445,4103.71864570075
swedish,model5p,4,0.4474265338516755,332.4725244386119,0.6911515092048679,2584.795670499825,4076.7532753103947
thai,null,0,-0.8920471064391053,923.9437787671847,1.1488775757029646,3481.3988806490675,4953.725464343708
thai,model1,1,-1.6227871086521835,1280.7862044358408,1.3536292574316202,3359.71241031322,4836.946749286843
thai,model2,2,0.39197140146562115,296.9187389766769,0.6522154650578048,2693.7233910299483,4175.865485282553
thai,model3,2,0.29452520683479744,344.50466058892164,0.7025380314669668,2744.8003116875175,4226.942405940123
thai,model4,1,0.1936820167134815,393.74943775463487,0.7505357530946126,3121.4539024038972,4598.68824137752
thai,model5,3,0.42635688486072076,280.12726832318066,0.6339591932556189,2607.7832550175112,4094.8331045490986
thai,model1p,2,0.3723650826040624,306.4930969696743,0.6626476123270517,2704.5977831463483,4186.7398773989535
thai,model2p,3,0.4090390145170524,288.58410774915194,0.6434574246334068,2684.2193710732163,4171.269220604803
thai,model3p,3,0.3109499257543056,336.48397399394565,0.6948095885998207,2760.460141068145,4247.509990599732
thai,model4p,2,0.409047966941266,288.57973600987077,0.6429914596681037,2682.1849082199265,4164.327002472532
thai,model5p,4,0.43546983566139996,275.6771390585106,0.6293551012543487,2580.1017286606,4072.0593334711702
turkish,null,0,-0.525264530954233,772.0019491515152,1.0501713799943833,3193.89515375391,4666.221737448552
turkish,model1,1,-1.247669480170233,1137.6421496238538,1.2757460997588284,3293.439832619046,4770.674171592669
